rating_id,user_id,movie_id,rating_value,rating_date
1,1,10,5,2023-04-14
2,1,7,5,2023-10-18
3,1,3,3,2023-10-22
4,1,6,3,2024-02-05
5,1,13,1,2024-01-08
6,2,9,1,2023-01-26
7,2,5,1,2023-02-23
8,2,11,2,2024-01-15
9,2,8,5,2024-01-22
10,2,12,5,2023-11-03
11,3,10,5,2023-08-20
12,3,9,3,2023-05-27
13,3,7,3,2023-10-26
14,3,13,4,2023-02-07
15,3,15,2,2023-03-20
16,4,14,4,2024-05-03
17,4,3,1,2023-01-14
18,4,6,1,2024-02-03
19,4,2,5,2023-06-18
20,4,11,3,2023-02-19
21,4,1,4,2024-02-29
22,5,1,1,2023-03-11
23,5,6,4,2023-12-09
24,5,12,5,2024-06-07
25,5,2,1,2023-05-20
26,6,8,2,2023-12-14
27,6,11,1,2023-04-08
28,6,14,3,2024-06-24
29,6,15,2,2023-03-28
30,6,12,3,2023-06-17
31,6,10,5,2023-09-05
32,7,13,4,2024-03-28
33,7,14,2,2023-06-23
34,7,2,4,2023-02-11
35,7,12,4,2024-05-03
36,7,6,4,2023-02-07
37,8,6,2,2024-03-06
38,8,15,2,2023-08-02
39,8,4,3,2024-02-08
40,8,1,1,2024-03-28
41,9,8,5,2023-05-03
42,9,7,5,2024-03-29
43,9,3,2,2024-03-16
44,9,9,5,2023-08-05
45,10,14,1,2023-02-05
46,10,15,3,2023-06-22
47,10,7,3,2024-01-05
48,10,5,2,2023-06-15
49,11,9,3,2024-03-16
50,11,2,5,2024-02-11
51,11,4,5,2023-04-14
52,11,7,3,2023-01-27
53,11,6,1,2023-10-13
54,12,2,3,2023-02-12
55,12,13,2,2023-08-16
56,12,15,4,2023-08-18
57,12,6,5,2024-06-09
58,12,8,1,2023-04-14
59,12,3,4,2023-04-15
60,13,14,4,2024-03-06
61,13,7,1,2024-04-30
62,13,9,1,2023-02-06
63,13,2,1,2024-02-05
64,13,8,5,2023-01-23
65,14,6,5,2024-03-02
66,14,5,4,2023-06-23
67,14,1,3,2024-02-23
68,14,12,4,2023-01-25
69,14,11,4,2024-01-26
70,15,7,4,2024-04-07
71,15,14,1,2023-06-30
72,15,1,3,2023-12-01
73,15,15,1,2023-11-25
74,15,8,5,2023-10-12
75,15,2,5,2024-04-07
76,16,13,4,2024-02-18
77,16,6,3,2023-08-09
78,16,4,1,2024-04-05
79,16,12,1,2023-09-08
80,17,10,5,2024-03-20
81,17,3,1,2023-07-09
82,17,4,2,2023-11-26
83,17,2,5,2023-09-05
84,18,11,5,2024-05-24
85,18,8,3,2024-05-23
86,18,15,5,2023-09-05
87,18,10,1,2023-07-24
88,18,13,5,2023-05-03
89,18,9,1,2024-06-27
90,19,10,2,2024-01-08
91,19,2,4,2024-03-18
92,19,5,2,2023-07-30
93,19,8,1,2023-02-11
94,19,6,5,2023-08-30
95,20,1,4,2023-02-13
96,20,2,2,2023-04-25
97,20,10,4,2023-07-11
98,20,4,3,2024-04-19
99,21,13,4,2023-06-03
100,21,14,4,2023-11-08
101,21,9,2,2023-01-27
102,21,10,5,2023-07-04
103,21,1,1,2024-01-20
104,21,2,2,2023-09-24
105,22,7,4,2024-01-03
106,22,9,5,2024-04-12
107,22,2,2,2023-08-24
108,22,12,4,2024-01-04
109,22,4,3,2023-10-28
110,23,15,1,2023-10-26
111,23,13,2,2023-08-13
112,23,2,2,2024-01-30
113,23,14,1,2023-04-16
114,24,8,5,2023-07-13
115,24,1,1,2023-02-15
116,24,9,4,2024-02-09
117,24,11,1,2024-04-28
118,24,7,2,2023-10-12
119,25,15,4,2023-04-29
120,25,6,2,2023-02-08
121,25,12,2,2023-06-14
122,25,14,1,2023-07-29
123,26,10,4,2024-03-06
124,26,5,4,2023-07-09
125,26,8,5,2023-07-31
126,26,12,4,2023-07-25
127,26,7,3,2024-04-16
128,26,13,2,2024-01-07
